ItemNumber,verb_type,verb,goal_introduced,goal_included,quantifier,asPhrase,itemType,group,context1,context2,target_sentence,
1,A (Optional),Crawl,no,no,filler,filler,1,A,"During practice Amy fell and sprained her ankle. She knew she had a brace in her backpack, but it was across the field.",,Amy crawled gingerly.,
1,A (Optional),Crawl,yes,no,filler,filler,2,B,During practice Amy fell and sprained her ankle. She knew it was important not to disturb her ankle as she gathered her things.,,Amy crawled gingerly.,
1,A (Optional),Crawl,no,yes,filler,filler,3,C,"During practice Amy fell and sprained her ankle. She knew she had a brace in her backpack, but it was across the field.",,Amy crawled to her backpack.,
1,A (Optional),Crawl,yes,yes,filler,filler,4,D,During practice Amy fell and sprained her ankle. She knew it was important not to disturb her ankle as she gathered her things.,,Amy crawled to her backpack.,
2,A (Optional),Skipped,no,no,filler,filler,1,B,"When she arrived at the picnic, Basil was happy to find that her friends had saved a place for her. ",,She skipped with excitement.,
2,A (Optional),Skipped,yes,no,filler,filler,2,C,"When she arrived at the picnic, Basil was happy to find that her friends had saved some food for her. ",,She skipped with excitement.,
2,A (Optional),Skipped,no,yes,filler,filler,3,D,"When she arrived at the picnic, Basil was happy to find that her friends had saved a place for her. ",,She skipped to her seat.,
2,A (Optional),Skipped,yes,yes,filler,filler,4,A,"When she arrived at the picnic, Basil was happy to find that her friends had saved some food for her. ",,She skipped to her seat.,
3,A (Optional),Jump,no,no,filler,filler,1,C,"Kathy waited anxiously for her package to arrive, and after an hour the doorbell finally rang. ",,She jumped in her excitement.,
3,A (Optional),Jump,yes,no,filler,filler,2,D,"Kathy waited at the top of the stairs for her package to arrive, and after an hour the doorbell finally rang. ",,She jumped in her excitement.,
3,A (Optional),Jump,no,yes,filler,filler,3,A,"Kathy waited anxiously for her package to arrive, and after an hour the doorbell finally rang. ",,She jumped down the stairs.,
3,A (Optional),Jump,yes,yes,filler,filler,4,B,"Kathy waited at the top of the stairs for her package to arrive, and after an hour the doorbell finally rang. ",,She jumped down the stairs.,
4,A (Optional),Run,no,no,filler,filler,1,D,"At the end of practice, Daisy noticed her friend had arrived unexpectedly.",,Daisy ran with a smile on her face.,
